Team,Game_ID,Points_Scored,Points_Allowed,Win,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls,Offensive_Efficiency,Efficient Points Score,Raw EOP,Two Points Per Attempt,Three Points Per Attempt,Total Points Per Attempt,Scoring_Possesions,Team Play Percent,Possesions,Field Goals Made_Allowed,Field Goals Attempted_Allowed,Free Throws Made_Allowed,Free Throws Attempted_Allowed,Three Point Made_Allowed,Three Point Attempted_Allowed,Total Points_Allowed,Offensive Rebounds_Allowed,Defensive Rebounds_Allowed,Total Rebounds_Allowed,Assists_Allowed,Turnovers_Allowed,Steals_Allowed,Blocks_Allowed,Fouls_Allowed,Technical Fouls_Allowed,Offensive_Efficiency_Allowed,Efficient Points Score_Allowed,Raw EOP_Allowed,Two Points Per Attempt_Allowed,Three Points Per Attempt_Allowed,Total Points Per Attempt_Allowed,Scoring_Possesions_Allowed,Team Play Percent_Allowed,Possesions_Allowed,Offensive_Efficieny_Difference
Laconia,33023438,59,42,1,25,53,1,3,8,23,59,5,24,29,8,15,8,0,0,0.0,0.126760563,5.323943662,4.816901408,1.133333333,1.043478261,1.094339623,25.13333333,0.363198459,83.85,15,51,7,10,5,16,42,9,24,33,7,19,7,0,0,0.0,0.205882353,12.14705882,10.32705882,0.571428571,0.9375,0.68627451,16.96,0.229189189,80.77,-0.07912179
Omro,33023438,42,59,0,15,51,7,10,5,16,42,9,24,33,7,19,7,0,0,0.0,0.205882353,12.14705882,10.32705882,0.571428571,0.9375,0.68627451,16.96,0.229189189,80.77,25,53,1,3,8,23,59,5,24,29,8,15,8,0,0,0.0,0.126760563,5.323943662,4.816901408,1.133333333,1.043478261,1.094339623,25.13333333,0.363198459,83.85,0.07912179
Laconia,33023439,48,63,0,20,49,6,10,2,18,48,6,14,20,13,14,11,0,0,0.0,0.271428571,17.1,15.67771429,1.161290323,0.333333333,0.857142857,21.44,0.32,76.18,23,60,13,19,4,17,63,14,18,32,14,17,8,2,11,0.0,0.350649351,16.83116883,16.5225974,0.88372093,0.705882353,0.833333333,26.55789474,0.313923106,86.02,-0.07922077999999999
Randolph,33023439,63,48,1,23,60,13,19,4,17,63,14,18,32,14,17,8,2,11,0.0,0.350649351,16.83116883,16.5225974,0.88372093,0.705882353,0.833333333,26.55789474,0.313923106,86.02,20,49,6,10,2,18,48,6,14,20,13,14,11,0,0,0.0,0.271428571,17.1,15.67771429,1.161290323,0.333333333,0.857142857,21.44,0.32,76.18,0.07922077999999999
Laconia,33023440,55,39,1,22,47,2,6,7,14,55,9,18,27,16,15,8,0,0,0.0,0.260869565,10.17391304,10.90434783,0.909090909,1.5,1.085106383,22.26666667,0.345755694,71.17,15,40,5,12,4,16,39,4,12,16,9,12,9,0,0,0.0,0.245614035,13.50877193,11.94666667,0.916666667,0.75,0.85,15.83333333,0.278755869,63.72,0.015255530000000017
St. Mary's Springs,33023440,39,55,0,15,40,5,12,4,16,39,4,12,16,9,12,9,0,0,0.0,0.245614035,13.50877193,11.94666667,0.916666667,0.75,0.85,15.83333333,0.278755869,63.72,22,47,2,6,7,14,55,9,18,27,16,15,8,0,0,0.0,0.260869565,10.17391304,10.90434783,0.909090909,1.5,1.085106383,22.26666667,0.345755694,71.17,-0.015255530000000017
Laconia,33023441,42,69,0,15,57,9,20,3,25,42,11,18,29,8,13,5,0,0,0.0,0.253731343,17.50746269,14.84835821,0.75,0.36,0.578947368,16.62,0.213076923,81.03,24,59,12,15,3,17,69,12,35,45,12,8,9,4,16,0.0,0.358208955,15.04477612,14.70089552,1.0,0.529411765,0.86440678,27.84,0.381369863,77.76,-0.104477612
Waupun,33023441,69,42,1,24,59,12,15,3,17,69,12,35,45,12,8,9,4,16,0.0,0.358208955,15.04477612,14.70089552,1.0,0.529411765,0.86440678,27.84,0.381369863,77.76,15,57,9,20,3,25,42,11,18,29,8,13,5,0,0,0.0,0.253731343,17.50746269,14.84835821,0.75,0.36,0.578947368,16.62,0.213076923,81.03,0.104477612
Laconia,33023442,67,55,1,21,55,21,34,4,16,67,9,21,30,9,22,21,1,0,0.0,0.38961039,21.42857143,18.95064935,0.871794872,0.75,0.836363636,26.18823529,0.28905337,89.37,21,55,9,18,4,15,55,18,29,47,9,40,9,0,26,0.0,0.209302326,14.02325581,12.08930233,0.85,0.8,0.836363636,22.8,0.223091977,97.74,0.18030806399999996
Winnebago Lutheran,33023442,55,67,0,21,55,9,18,4,15,55,18,29,47,9,40,9,0,26,0.0,0.209302326,14.02325581,12.08930233,0.85,0.8,0.836363636,22.8,0.223091977,97.74,21,55,21,34,4,16,67,9,21,30,9,22,21,1,0,0.0,0.38961039,21.42857143,18.95064935,0.871794872,0.75,0.836363636,26.18823529,0.28905337,89.37,-0.18030806399999996
