Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Menomonee Falls,29,33024014,19,71,12,17,9,35,59,0,0,37,11,0,18,3,0,0
Brookfield East,59,33024014,11,39,3,9,3,9,31,10,25,35,5,31,6,4,0,0
Menomonee Falls,41,33024015,13,42,19,31,1,12,46,9,29,38,6,17,7,2,0,0
Divine Savior Holy Angels,46,33024015,16,58,5,10,4,26,41,16,19,35,12,15,7,1,0,0
Menomonee Falls,45,33024017,21,58,12,22,6,18,60,10,11,21,8,10,10,0,10,0
Sussex Hamilton,60,33024017,18,46,7,9,2,13,45,10,21,31,7,24,5,0,0,0
Menomonee Falls,39,33024018,13,49,5,11,5,22,36,8,17,25,5,14,3,0,0,0
Wauwatosa East,36,33024018,15,48,6,13,3,16,39,14,21,35,8,15,6,4,0,0
Menomonee Falls,40,33024020,21,62,12,20,9,27,63,11,29,40,12,14,12,4,16,0
Wauwatosa West,63,33024020,17,58,5,14,1,14,40,8,30,38,11,19,8,5,0,0
Menomonee Falls,47,33024021,8,45,7,12,4,3,35,10,18,20,9,0,23,1,0,0
West Allis Hale,35,33024021,17,46,7,15,6,21,47,12,24,36,11,15,11,6,0,0
Menomonie,76,33024023,14,46,4,10,2,10,34,10,16,25,6,29,6,1,6,0
Chippewa Falls,34,33024023,35,61,1,6,5,21,76,9,22,31,28,14,23,3,12,0
Menomonie,57,33024024,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
Eau Claire Memorial,50,33024024,19,48,13,22,6,17,55,14,18,32,11,13,8,1,12,0
Menomonie,74,33024025,8,33,17,25,4,25,45,7,8,15,4,14,4,1,14,0
Eau Claire North,45,33024025,27,56,16,18,6,15,74,12,26,40,16,13,11,2,16,0
Menomonie,49,33024027,14,35,7,15,5,9,40,7,13,20,8,16,5,0,12,12
Hudson,40,33024027,19,38,5,10,6,13,49,6,16,22,10,17,7,2,11,0
Menomonie,60,33024028,15,54,9,13,5,13,44,9,14,23,5,11,15,0,0,0
La Crosse Central,44,33024028,23,47,5,8,6,17,57,8,30,38,17,17,5,5,13,0
